                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                 1.0435,                0.68001,                 1.1373,                0.75556,                0.65337,                0.70003,                0.42583,                 1.1341,                0.69131,                 1.2363,              0.0071082,              0.0071082,              0.0071082
                    113,                  1.039,                0.67714,                  1.135,                0.71339,                0.66253,                0.69873,                0.42839,                 1.1333,                 0.6938,                 1.2398,              0.0070821,              0.0070821,              0.0070821
                    114,                 1.0376,                0.66549,                  1.132,                0.72015,                0.65297,                0.68031,                0.42133,                 1.1373,                0.68763,                 1.2439,              0.0070561,              0.0070561,              0.0070561
                    115,                 1.0366,                0.66874,                 1.1259,                0.71676,                0.66196,                 0.6993,                0.42778,                 1.1332,                0.68153,                 1.2398,                0.00703,                0.00703,                0.00703
                    116,                 1.0399,                0.68082,                 1.1324,                0.76415,                0.63212,                  0.708,                 0.4352,                 1.1359,                 0.6846,                  1.244,              0.0070039,              0.0070039,              0.0070039
                    117,                 1.0406,                0.66614,                 1.1285,                0.71992,                0.65141,                0.69535,                0.42456,                 1.1293,                0.69552,                 1.2393,              0.0069779,              0.0069779,              0.0069779
                    118,                 1.0274,                0.66222,                 1.1276,                0.70691,                0.67653,                0.70087,                0.42231,                  1.129,                 0.6892,                 1.2379,              0.0069518,              0.0069518,              0.0069518
                    119,                 1.0384,                0.66863,                 1.1334,                0.77914,                0.64891,                0.70916,                0.41995,                 1.1335,                 0.6896,                 1.2442,              0.0069258,              0.0069258,              0.0069258
                    120,                 1.0407,                0.66974,                 1.1318,                0.76462,                0.64995,                0.70932,                0.43194,                 1.1329,                0.69358,                 1.2404,              0.0068997,              0.0068997,              0.0068997
                    121,                 1.0392,                0.66341,                  1.129,                0.81503,                0.64118,                0.70828,                0.43398,                 1.1308,                0.68551,                 1.2389,              0.0068737,              0.0068737,              0.0068737
                    122,                 1.0368,                0.67193,                 1.1337,                0.81136,                0.64834,                0.70884,                 0.4307,                 1.1296,                0.68736,                  1.238,              0.0068476,              0.0068476,              0.0068476
                    123,                 1.0284,                0.66136,                 1.1293,                0.76084,                0.63889,                0.69389,                0.43491,                 1.1273,                0.68742,                 1.2362,              0.0068216,              0.0068216,              0.0068216
                    124,                 1.0338,                0.66292,                 1.1346,                0.75523,                0.65809,                0.71492,                0.43957,                 1.1275,                0.69011,                 1.2372,              0.0067955,              0.0067955,              0.0067955
                    125,                 1.0335,                0.65977,                 1.1253,                0.79088,                0.66318,                0.71148,                0.43796,                 1.1257,                0.69431,                  1.236,              0.0067695,              0.0067695,              0.0067695
                    126,                 1.0208,                0.66221,                 1.1229,                0.76722,                0.63757,                0.70543,                0.43507,                  1.126,                0.69552,                 1.2399,              0.0067434,              0.0067434,              0.0067434
                    127,                 1.0245,                0.64708,                  1.121,                0.74549,                0.64464,                0.71065,                0.43908,                 1.1254,                0.68833,                 1.2376,              0.0067174,              0.0067174,              0.0067174
                    128,                 1.0314,                0.64751,                  1.123,                0.77916,                0.63104,                0.71262,                0.43469,                 1.1257,                0.68842,                 1.2376,              0.0066913,              0.0066913,              0.0066913
                    129,                 1.0284,                0.65316,                 1.1233,                0.81518,                 0.6179,                0.71206,                0.42807,                 1.1269,                0.68358,                 1.2396,              0.0066653,              0.0066653,              0.0066653
                    130,                 1.0173,                0.64758,                 1.1167,                0.75017,                 0.6567,                0.71149,                0.42479,                 1.1284,                0.68514,                 1.2406,              0.0066392,              0.0066392,              0.0066392
                    131,                 1.0264,                0.65349,                 1.1287,                0.77802,                0.64908,                 0.7147,                0.42537,                 1.1247,                0.68234,                 1.2369,              0.0066132,              0.0066132,              0.0066132
                    132,                 1.0186,                0.65307,                 1.1211,                0.74708,                0.64426,                0.71272,                0.43135,                 1.1266,                0.67953,                 1.2392,              0.0065871,              0.0065871,              0.0065871
                    133,                 1.0186,                0.65191,                 1.1169,                0.76673,                 0.6506,                0.71319,                0.43111,                 1.1207,                0.67931,                 1.2354,              0.0065611,              0.0065611,              0.0065611
                    134,                 1.0225,                0.64988,                 1.1206,                0.81011,                 0.6335,                0.70757,                0.42787,                 1.1221,                0.68124,                  1.236,               0.006535,               0.006535,               0.006535
                    135,                 1.0266,                0.65383,                 1.1142,                0.79346,                 0.6446,                0.70733,                0.42878,                 1.1244,                0.68353,                 1.2357,              0.0065089,              0.0065089,              0.0065089
                    136,                 1.0126,                0.64658,                 1.1169,                0.80022,                0.64383,                0.70955,                0.42739,                 1.1262,                0.68217,                 1.2402,              0.0064829,              0.0064829,              0.0064829
                    137,                 1.0217,                0.65315,                 1.1242,                0.83402,                 0.6422,                0.71923,                0.43353,                 1.1225,                0.67718,                   1.24,              0.0064568,              0.0064568,              0.0064568
                    138,                 1.0034,                0.63548,                 1.1118,                0.81266,                0.65635,                0.71397,                0.43096,                 1.1216,                0.67707,                 1.2391,              0.0064308,              0.0064308,              0.0064308
                    139,                  1.016,                0.64768,                 1.1142,                0.83101,                0.64537,                0.71776,                0.43853,                 1.1246,                0.67912,                 1.2396,              0.0064047,              0.0064047,              0.0064047
